zip,city,state,lat,lng
01001,Agawam,MA,42.0696,-72.6227
01002,Cushman,MA,42.3766,-72.5166
01005,Barre,MA,42.4232,-72.1082
01007,Belchertown,MA,42.2767,-72.3972
01008,Blandford,MA,42.1827,-72.9366
01009,Bondsville,MA,42.2001,-72.3398
01010,Brimfield,MA,42.1166,-72.2088
01011,Chester,MA,42.2795,-72.9881
01012,Chesterfield,MA,42.3959,-72.8348
01013,Chicopee,MA,42.1487,-72.6081
01020,Chicopee,MA,42.1763,-72.5569
01021,Chicopee,MA,42.1394,-72.5545
01022,Chicopee,MA,42.2070,-72.5763
01026,Cummington,MA,42.4351,-72.8989
01027,Easthampton,MA,42.2667,-72.6689
01028,East Otis,MA,42.2047,-73.0581
01030,Feeding Hills,MA,42.0715,-72.6758
01031,Gilbertville,MA,42.3312,-72.1975
01032,Goshen,MA,42.4410,-72.8199
01033,Granby,MA,42.2557,-72.5201
01034,Granville,MA,42.0634,-72.8611
01035,Hadley,MA,42.3562,-72.5714
01036,Hampden,MA,42.0640,-72.4319
01037,Hardwick,MA,42.3537,-72.2070
01038,Hatfield,MA,42.3779,-72.6153
01039,Haydenville,MA,42.3817,-72.7020
01040,Holyoke,MA,42.2043,-72.6162
01041,Holyoke,MA,42.2251,-72.6745
01050,Huntington,MA,42.2251,-72.8959
01053,Leeds,MA,42.3540,-72.7037
01054,Leverett,MA,42.4584,-72.4993
01056,Ludlow,MA,42.1601,-72.4764
01057,Monson,MA,42.1014,-72.3195
01060,Northampton,MA,42.3251,-72.6412
01061,Northampton,MA,42.3251,-72.6412
01062,Florence,MA,42.3251,-72.6412
01063,Northfield,MA,42.7001,-72.4326
01066,Pelham,MA,42.3959,-72.4132
01068,Oakham,MA,42.3501,-72.0512
01069,Palmer,MA,42.1584,-72.3287
01070,Plainfield,MA,42.5154,-72.9176
01071,Russell,MA,42.2292,-72.8681
01072,Shutesbury,MA,42.4584,-72.4132
01073,Southampton,MA,42.2251,-72.7287
01074,South Hadley,MA,42.2584,-72.5764
01075,South Hadley,MA,42.2584,-72.5764
01077,Southwick,MA,42.0501,-72.7598
01079,Thorndike,MA,42.1751,-72.3287
01080,Three Rivers,MA,42.1751,-72.3570
01081,Wales,MA,42.0668,-72.2070
01082,Ware,MA,42.2584,-72.2389
01083,Warren,MA,42.2251,-72.2070
01084,West Brookfield,MA,42.2376,-72.1570
01085,Westfield,MA,42.1251,-72.7500
01086,Westfield,MA,42.1251,-72.7500
01088,West Hatfield,MA,42.3779,-72.6389
01089,West Springfield,MA,42.1070,-72.6412
01090,West Springfield,MA,42.1070,-72.6412
01092,West Warren,MA,42.2251,-72.2320
01093,Whately,MA,42.4376,-72.6445
01094,Williamsburg,MA,42.4084,-72.7604
01095,Wilbraham,MA,42.1251,-72.4320
01096,Williamsburg,MA,42.4084,-72.7604
01097,Woronoco,MA,42.1751,-72.8570
01098,Worthington,MA,42.4251,-72.9320
10001,New York,NY,40.7505,-73.9934
10002,New York,NY,40.7156,-73.9860
10003,New York,NY,40.7310,-73.9898
10004,New York,NY,40.6890,-73.9755
10005,New York,NY,40.7067,-73.9791
10006,New York,NY,40.7085,-73.9432
10007,New York,NY,40.7130,-73.9432
10009,New York,NY,40.7267,-73.9791
10010,New York,NY,40.7391,-73.9826
10011,New York,NY,40.7406,-73.9966
10012,New York,NY,40.7256,-73.9986
10013,New York,NY,40.7197,-73.9994
10014,New York,NY,40.7342,-74.0067
10016,New York,NY,40.7450,-73.9761
10017,New York,NY,40.7520,-73.9717
10018,New York,NY,40.7549,-73.9925
10019,New York,NY,40.7651,-73.9896
10020,New York,NY,40.7589,-73.9776
10021,New York,NY,40.7696,-73.9565
10022,New York,NY,40.7574,-73.9654
10023,New York,NY,40.7766,-73.9827
10024,New York,NY,40.7914,-73.9760
10025,New York,NY,40.7977,-73.9665
10026,New York,NY,40.7957,-73.9389
10027,New York,NY,40.8115,-73.9534
10028,New York,
